Type,Institution,Shortname,USATLAS,DUNE Ops,DUNE,USATLAS Ops,USCMS,USCMS Ops,IRIS-HEP,A3D3,Latitude,Longitude,USCMS Ops DOE,USCMS Ops NSF,USATLAS Ops DOE,USATLAS Ops NSF,USATLAS Research DOE,USATLAS Research NSF,USCMS Research DOE,USCMS Research NSF
1,Yale University,Yale,1,,1,,,,,,41.3163,-72.9223,,,,,1,,,
1,Youngstown State University,Youngstown,1,,,,,,,,41.1066,-80.6481,,,,,,,,
2,ANL (Argonne National Laboratory),ANL,1,1,1,1,,,,,41.713,-87.983,,,,,1,,,
2,BNL (Brookhaven National Laboratory),BNL,1,1,1,1,,,,,40.8681,-72.8801,,,,,1,,,
2,FNAL (Fermilab),FNAL,,1,1,,1,1,,,41.8419,-88.2546,Y,,,,,,,
2,LANL (Los Alamos National Laboratory),LANL,,,1,,,,,,35.8454,-106.287,,,,,,,,
2,LBNL (Lawrence Berkeley National Lab),LBNL,1,1,1,1,,,,,37.8762,-122.246,,,,,1,,,
2,LLNL (Lawrence Livermore National Laboratory),LLNL,1,,,,1,,,,37.68,-121.72,,,,,1,,,
2,PNNL (Pacific Northwest National Laboratory),PNNL,,,1,,,,,,46.345,-119.2783,,,,,,,,
2,SLAC,SLAC,1,1,1,1,,,,,37.4161,-122.2041,,,,,1,,,
